
Name                                       DisplayName                                                                 
----                                       -----------                                                                 
AarSvc_35fbbe6                             Agent Activation Runtime_35fbbe6                                            
AJRouter                                   Servicio de enrutador de AllJoyn                                            
ALG                                        Servicio de puerta de enlace de nivel de aplicación                         
AMD Crash Defender Service                 AMD Crash Defender Service                                                  
AMD External Events Utility                AMD External Events Utility                                                 
AppIDSvc                                   Identidad de aplicación                                                     
Appinfo                                    Información de la aplicación                                                
AppMgmt                                    Administración de aplicaciones                                              
AppReadiness                               Preparación de aplicaciones                                                 
AppVClient                                 Microsoft App-V Client                                                      
AppXSvc                                    Servicio de implementación de AppX (AppXSVC)                                
AssignedAccessManagerSvc                   Servicio AssignedAccessManager                                              
AudioEndpointBuilder                       Compilador de extremo de audio de Windows                                   
Audiosrv                                   Audio de Windows                                                            
autotimesvc                                Hora de la red de telefonía móvil                                           
AxInstSV                                   Instalador de ActiveX (AxInstSV)                                            
BcastDVRUserService_35fbbe6                Servicio de usuario de difusión y GameDVR_35fbbe6                           
BDESVC                                     Servicio Cifrado de unidad BitLocker                                        
BFE                                        Motor de filtrado de base                                                   
BITS                                       Servicio de transferencia inteligente en segundo plano (BITS)               
BluetoothUserService_35fbbe6               Servicio de soporte técnico de usuario de Bluetooth_35fbbe6                 
BrokerInfrastructure                       Servicio de infraestructura de tareas en segundo plano                      
BTAGService                                Servicio de puerta de enlace de audio de Bluetooth                          
BthAvctpSvc                                Servicio AVCTP                                                              
bthserv                                    Servicio de compatibilidad con Bluetooth                                    
camsvc                                     Servicio Administrador de funcionalidad de acceso                           
CaptureService_35fbbe6                     CaptureService_35fbbe6                                                      
cbdhsvc_35fbbe6                            Servicio de usuario del portapapeles_35fbbe6                                
CDPSvc                                     Servicio de plataforma de dispositivos conectados                           
CDPUserSvc_35fbbe6                         Servicio de usuario de plataforma de dispositivos conectados_35fbbe6        
CertPropSvc                                Propagación de certificados                                                 
ClipSVC                                    Servicio de licencia de cliente (ClipSVC)                                   
cloudidsvc                                 Servicio de identidad en la nube de Microsoft                               
COMSysApp                                  Aplicación del sistema COM+                                                 
ConsentUxUserSvc_35fbbe6                   ConsentUX_35fbbe6                                                           
CoreMessagingRegistrar                     CoreMessaging                                                               
CredentialEnrollmentManagerUserSvc_35fbbe6 CredentialEnrollmentManagerUserSvc_35fbbe6                                  
CryptSvc                                   Servicios de cifrado                                                        
CscService                                 Archivos sin conexión                                                       
DcomLaunch                                 Iniciador de procesos de servidor DCOM                                      
dcsvc                                      Declared Configuration(DC) service                                          
defragsvc                                  Optimizar unidades                                                          
DeviceAssociationBrokerSvc_35fbbe6         DeviceAssociationBroker_35fbbe6                                             
DeviceAssociationService                   Servicio de asociación de dispositivos                                      
DeviceInstall                              Servicio de instalación de dispositivos                                     
DevicePickerUserSvc_35fbbe6                DevicePicker_35fbbe6                                                        
DevicesFlowUserSvc_35fbbe6                 DevicesFlow_35fbbe6                                                         
DevQueryBroker                             Agente de detección en segundo plano de DevQuery                            
Dhcp                                       Cliente DHCP                                                                
diagnosticshub.standardcollector.service   Servicio Recopilador estándar del concentrador de diagnósticos de Microso...
diagsvc                                    Diagnostic Execution Service                                                
DiagTrack                                  Experiencias del usuario y telemetría asociadas                             
DialogBlockingService                      DialogBlockingService                                                       
DispBrokerDesktopSvc                       Mostrar el servicio de directivas                                           
DisplayEnhancementService                  Servicio de mejora de visualización                                         
DmEnrollmentSvc                            Servicio de inscripción de administración de dispositivos                   
dmwappushservice                           Servicio de enrutamiento de mensajes de inserción del Protocolo de aplica...
Dnscache                                   Cliente DNS                                                                 
DoSvc                                      Optimización de distribución                                                
dot3svc                                    Configuración automática de redes cableadas                                 
DPS                                        Servicio de directivas de diagnóstico                                       
DsmSvc                                     Administrador de configuración de dispositivos                              
DsSvc                                      Servicio de uso compartido de datos                                         
DusmSvc                                    Uso de datos                                                                
Eaphost                                    Protocolo de autenticación extensible                                       
edgeupdate                                 Servicio de Actualización de Microsoft Edge (edgeupdate)                    
edgeupdatem                                Servicio de Actualización de Microsoft Edge (edgeupdatem)                   
EFS                                        Sistema de cifrado de archivos (EFS)                                        
embeddedmode                               Modo insertado                                                              
EntAppSvc                                  Servicio de administración de aplicaciones de empresa                       
EventLog                                   Registro de eventos de Windows                                              
EventSystem                                Sistema de eventos COM+                                                     
Fax                                        Fax                                                                         
fdPHost                                    Host de proveedor de detección de función                                   
FDResPub                                   Publicación de recurso de detección de función                              
fhsvc                                      Servicio de historial de archivos                                           
FOGService                                 FOGService                                                                  
FontCache                                  Servicio de caché de fuentes de Windows                                     
FrameServer                                Servicio FrameServer de la Cámara de Windows                                
GameInputSvc                               GameInput Service                                                           
GoogleChromeElevationService               Google Chrome Elevation Service (GoogleChromeElevationService)              
GoogleUpdaterInternalService144.0.7547.0   Servicio interno de la herramienta de actualización de Google (GoogleUpda...
GoogleUpdaterService144.0.7547.0           Servicio de herramienta de actualización de Google (GoogleUpdaterService1...
gpsvc                                      Cliente de directiva de grupo                                               
GraphicsPerfSvc                            GraphicsPerfSvc                                                             
hidserv                                    Servicio de dispositivo de interfaz humana                                  
HvHost                                     Servicio de host HV                                                         
icssvc                                     Servicio de zona con cobertura inalámbrica móvil de Windows                 
IKEEXT                                     Módulos de creación de claves de IPsec para IKE y AuthIP                    
InstallService                             Servicio de instalación de Microsoft Store                                  
iphlpsvc                                   Aplicación auxiliar IP                                                      
IpxlatCfgSvc                               Servicio de configuración de traslación de IP                               
KeyIso                                     Aislamiento de claves CNG                                                   
KtmRm                                      KTMRM para DTC (Coordinador de transacciones distribuidas)                  
LanmanServer                               Servidor                                                                    
LanmanWorkstation                          Estación de trabajo                                                         
lfsvc                                      Servicio de geolocalización                                                 
LicenseManager                             Servicio de administrador de licencias de Windows                           
lltdsvc                                    Asignador de detección de topologías de nivel de vínculo                    
lmhosts                                    Aplicación auxiliar de NetBIOS sobre TCP/IP                                 
LSM                                        Administrador de sesión local                                               
LxpSvc                                     Servicio de experiencia de idioma                                           
MapsBroker                                 Administrador de mapas descargados                                          
McpManagementService                       McpManagementService                                                        
MDCoreSvc                                  MDCoreSvc                                                                   
MessagingService_35fbbe6                   MessagingService_35fbbe6                                                    
MicrosoftEdgeElevationService              Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)            
MozillaMaintenance                         Mozilla Maintenance Service                                                 
mpssvc                                     Firewall de Windows Defender                                                
MSDTC                                      Coordinador de transacciones distribuidas                                   
MSiSCSI                                    Servicio del iniciador iSCSI de Microsoft                                   
msiserver                                  Windows Installer                                                           
MsKeyboardFilter                           Filtro de teclado de Microsoft                                              
NaturalAuthentication                      Autenticación natural                                                       
NcaSvc                                     Asistente para la conectividad de red                                       
NcbService                                 Agente de conexión de red                                                   
NcdAutoSetup                               Configuración automática de dispositivos conectados a la red                
Netlogon                                   Net Logon                                                                   
Netman                                     Conexiones de red                                                           
netprofm                                   Servicio de lista de redes                                                  
NetSetupSvc                                Servicio de configuración de red                                            
NetTcpPortSharing                          Servicio de uso compartido de puertos Net.Tcp                               
NgcCtnrSvc                                 Contenedor de Microsoft Passport                                            
NgcSvc                                     Microsoft Passport                                                          
NlaSvc                                     Reconoc. ubicación de red                                                   
nsi                                        Servicio Interfaz de almacenamiento en red                                  
OneSyncSvc_35fbbe6                         Sincronizar host_35fbbe6                                                    
ose                                        Office  Source Engine                                                       
p2pimsvc                                   Identity Manager de redes de mismo nivel                                    
p2psvc                                     Agrupación de red del mismo nivel                                           
PcaSvc                                     Servicio Asistente para la compatibilidad de programas                      
PeerDistSvc                                BranchCache                                                                 
perceptionsimulation                       Servicio de simulación de percepción de Windows                             
PerfHost                                   DLL de host del Contador de rendimiento                                     
PhoneSvc                                   Servicio telefónico                                                         
PimIndexMaintenanceSvc_35fbbe6             Datos de contactos_35fbbe6                                                  
pla                                        Registros y alertas de rendimiento                                          
PlugPlay                                   Plug and Play                                                               
PNRPAutoReg                                Servicio de publicación de nombres de equipo PNRP                           
PNRPsvc                                    Protocolo de resolución de nombres de mismo nivel                           
PolicyAgent                                Agente de directiva IPsec                                                   
Power                                      Energía                                                                     
PrintNotify                                Extensiones y notificaciones de impresora                                   
PrintWorkflowUserSvc_35fbbe6               PrintWorkflow_35fbbe6                                                       
ProfSvc                                    Servicio de perfil de usuario                                               
PushToInstall                              Servicio PushToInstall de Windows                                           
QWAVE                                      Experiencia de calidad de audio y vídeo de Windows (qWave)                  
RasAuto                                    Administrador de conexiones automáticas de acceso remoto                    
RasMan                                     Administrador de conexiones de acceso remoto                                
RemoteAccess                               Enrutamiento y acceso remoto                                                
RemoteRegistry                             Registro remoto                                                             
RetailDemo                                 Servicio de prueba comercial                                                
RmSvc                                      Servicio de administración de radio                                         
RpcEptMapper                               Asignador de extremos de RPC                                                
RpcLocator                                 Ubicador de llamada a procedimiento remoto (RPC)                            
RpcSs                                      Llamada a procedimiento remoto (RPC)                                        
RtkAudioUniversalService                   Realtek Audio Universal Service                                             
RtkBtAudioServ                             Realtek Bluetooth Audio Service                                             
RtkBtManServ                               Realtek Bluetooth Device Manager Service                                    
SamSs                                      Administrador de cuentas de seguridad                                       
SCardSvr                                   Tarjeta inteligente                                                         
ScDeviceEnum                               Servicio de enumeración de dispositivos de tarjeta inteligente              
Schedule                                   Programador de tareas                                                       
SCPolicySvc                                Directiva de extracción de tarjetas inteligentes                            
SDRSVC                                     Copias de seguridad de Windows                                              
seclogon                                   Inicio de sesión secundario                                                 
SecurityHealthService                      Servicio Seguridad de Windows                                               
SEMgrSvc                                   Administrador de pagos y NFC/SE                                             
SENS                                       Servicio de notificación de eventos de sistema                              
Sense                                      Sense                                                                       
SensorDataService                          Servicio de datos del sensor                                                
SensorService                              Servicio de sensores                                                        
SensrSvc                                   Servicio de supervisión de sensores                                         
SessionEnv                                 Configuración de Escritorio remoto                                          
